ticket_text,category,priority
"I was charged twice for my monthly subscription this month This is blocking my entire team from working, please help ASAP.",Billing,High
I want to update my payment method for monthly This has been broken for 3 days and no one has responded.,Billing,High
I was charged twice for my Basic subscription this month This is a major issue affecting our production system.,Billing,High
Can you explain the extra charge on my last Pro invoice Not blocking me completely but it's annoying.,Billing,Medium
"Can you add keyboard shortcuts for reporting Just curious about this, not urgent at all.",Feature Request,Low
I am locked out of my account after too many login attempts This has been broken for 3 days and no one has responded.,Account Access,High
"I need a refund for the Premium plan I cancelled last week This is urgent, I need this fixed immediately.",Billing,High
How many users can I add under the Basic plan I have a deadline today and this is critical.,Product Inquiry,High
A calendar view for export tool would be really useful Please look into this when you get a chance.,Feature Request,Medium
"I want to update my payment method for Pro This is a minor issue, whenever convenient.",Billing,Low
Why did my card get billed for Premium when I already cancelled Would appreciate a fix in the next few days.,Billing,Medium
mobile app is not loading at all on my device Please look into this when you get a chance.,Technical Issue,Medium
"Please consider adding multi-language support to search This is a minor issue, whenever convenient.",Feature Request,Low
Is there a student discount available for Premium Would appreciate a fix in the next few days.,Product Inquiry,Medium
My invoice shows an incorrect amount for Basic Please look into this when you get a chance.,Billing,Medium
I lost all my data after the file upload update This has been broken for 3 days and no one has responded.,Technical Issue,High
Do you offer a trial for reporting before upgrading This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
Requesting a bulk upload option in export tool Not blocking me completely but it's annoying.,Feature Request,Medium
"I am locked out of my account after too many login attempts This is urgent, I need this fixed immediately.",Account Access,High
"My invoice shows an incorrect amount for monthly Low priority, just wanted to check.",Billing,Low
"It would be great if analytics supported dark mode Low priority, just wanted to check.",Feature Request,Low
"Can you add keyboard shortcuts for dashboard No rush, just wanted to flag this.",Feature Request,Low
A calendar view for file upload would be really useful Not blocking me completely but it's annoying.,Feature Request,Medium
"The website is extremely slow when I access chat support This is a minor issue, whenever convenient.",Technical Issue,Low
"It would be great if chat support supported dark mode This is a minor issue, whenever convenient.",Feature Request,Low
"search is not loading at all on my device No rush, just wanted to flag this.",Technical Issue,Low
Can you add keyboard shortcuts for dashboard Would appreciate a fix in the next few days.,Feature Request,Medium
"I am locked out of my account after too many login attempts No rush, just wanted to flag this.",Account Access,Low
"I want to update my payment method for Enterprise This is a minor issue, whenever convenient.",Billing,Low
Getting a 500 server error on the search page This is a major issue affecting our production system.,Technical Issue,High
"I would love to see offline support for search This is a minor issue, whenever convenient.",Feature Request,Low
I forgot my password and the reset link is not working This is a major issue affecting our production system.,Account Access,High
"Does the Pro plan include mobile app access This is urgent, I need this fixed immediately.",Product Inquiry,High
Requesting a bulk upload option in export tool Please look into this when you get a chance.,Feature Request,Medium
"My invoice shows an incorrect amount for Basic No rush, just wanted to flag this.",Billing,Low
Please add an export option to notifications This is affecting my work but I have a workaround for now.,Feature Request,Medium
"Requesting a bulk upload option in mobile app Low priority, just wanted to check.",Feature Request,Low
The app keeps crashing every time I open the analytics section This has been broken for 3 days and no one has responded.,Technical Issue,High
"What integrations are supported with dashboard No rush, just wanted to flag this.",Product Inquiry,Low
"Why did my card get billed for monthly when I already cancelled No rush, just wanted to flag this.",Billing,Low
I am getting an error message when I try to use search This has been broken for 3 days and no one has responded.,Technical Issue,High
"mobile app is not loading at all on my device No rush, just wanted to flag this.",Technical Issue,Low
What integrations are supported with billing portal This is a major issue affecting our production system.,Product Inquiry,High
I was charged twice for my Pro subscription this month Not blocking me completely but it's annoying.,Billing,Medium
"The dashboard button does nothing when I click it This is urgent, I need this fixed immediately.",Technical Issue,High
Can I use chat support on multiple devices Not blocking me completely but it's annoying.,Product Inquiry,Medium
"I am getting an error message when I try to use mobile app No rush, just wanted to flag this.",Technical Issue,Low
"I cannot log into my account, it says password incorrect This is a major issue affecting our production system.",Account Access,High
"The app keeps crashing every time I open the billing portal section No rush, just wanted to flag this.",Technical Issue,Low
It would be great if mobile app supported dark mode This is affecting my work but I have a workaround for now.,Feature Request,Medium
Requesting a bulk upload option in export tool This is a major issue affecting our production system.,Feature Request,High
Requesting a bulk upload option in chat support Would appreciate a fix in the next few days.,Feature Request,Medium
reporting is not loading at all on my device Would appreciate a fix in the next few days.,Technical Issue,Medium
"Can I use dashboard on multiple devices No rush, just wanted to flag this.",Product Inquiry,Low
Can you explain the extra charge on my last Pro invoice I have a deadline today and this is critical.,Billing,High
My invoice shows an incorrect amount for Premium This is a major issue affecting our production system.,Billing,High
My account got suspended and I do not know why This is a major issue affecting our production system.,Account Access,High
"Someone else may have accessed my account without permission This is urgent, I need this fixed immediately.",Account Access,High
"Please add an export option to chat support Just curious about this, not urgent at all.",Feature Request,Low
Getting a 500 server error on the chat support page Would appreciate a fix in the next few days.,Technical Issue,Medium
"I was charged twice for my monthly subscription this month No rush, just wanted to flag this.",Billing,Low
I need a refund for the Pro plan I cancelled last week This has been broken for 3 days and no one has responded.,Billing,High
"Please consider adding multi-language support to search This is urgent, I need this fixed immediately.",Feature Request,High
I lost all my data after the file upload update This is affecting my work but I have a workaround for now.,Technical Issue,Medium
What is the difference between Basic and the free plan Please look into this when you get a chance.,Product Inquiry,Medium
I am locked out of my account after too many login attempts Would appreciate a fix in the next few days.,Account Access,Medium
"A calendar view for export tool would be really useful This is a minor issue, whenever convenient.",Feature Request,Low
The analytics button does nothing when I click it I have a deadline today and this is critical.,Technical Issue,High
What integrations are supported with mobile app Please look into this when you get a chance.,Product Inquiry,Medium
What integrations are supported with notifications Not blocking me completely but it's annoying.,Product Inquiry,Medium
"The two factor authentication code never arrives This is blocking my entire team from working, please help ASAP.",Account Access,High
"Can I use billing portal on multiple devices Just curious about this, not urgent at all.",Product Inquiry,Low
Someone else may have accessed my account without permission Would appreciate a fix in the next few days.,Account Access,Medium
I was charged twice for my Premium subscription this month Would appreciate a fix in the next few days.,Billing,Medium
I was charged twice for my annual subscription this month Would appreciate a fix in the next few days.,Billing,Medium
How many users can I add under the annual plan This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
"I cannot log into my account, it says password incorrect This is a major issue affecting our production system.",Account Access,High
"billing portal is not loading at all on my device Just curious about this, not urgent at all.",Technical Issue,Low
"Can you add keyboard shortcuts for billing portal Just curious about this, not urgent at all.",Feature Request,Low
Can you add keyboard shortcuts for analytics Would appreciate a fix in the next few days.,Feature Request,Medium
"Please add an export option to analytics Low priority, just wanted to check.",Feature Request,Low
"I lost all my data after the chat support update This is urgent, I need this fixed immediately.",Technical Issue,High
The two factor authentication code never arrives Would appreciate a fix in the next few days.,Account Access,Medium
"Is there a student discount available for Enterprise This is a minor issue, whenever convenient.",Product Inquiry,Low
I need a refund for the annual plan I cancelled last week This is affecting my work but I have a workaround for now.,Billing,Medium
"I am locked out of my account after too many login attempts This is blocking my entire team from working, please help ASAP.",Account Access,High
How many users can I add under the Basic plan This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
Is there a student discount available for Enterprise Please look into this when you get a chance.,Product Inquiry,Medium
The discount code did not apply to my Enterprise purchase This is a major issue affecting our production system.,Billing,High
"Does the annual plan include mobile app access No rush, just wanted to flag this.",Product Inquiry,Low
"What is the difference between Enterprise and the free plan Just curious about this, not urgent at all.",Product Inquiry,Low
